Cell_type,Genes
cS15 (Pericyte),"['RGS5', 'CALD1', 'NDUFA4L2', 'COX4I2', 'NOTCH3', 'HIGD1B', 'FRZB', 'CD36', 'PDGFRB', 'MYL9', 'IGFBP7', 'HES4', 'STEAP4', 'NR2F2', 'ADIRF', 'MALAT1', 'TINAGL1', 'CALM2', 'GJA4', 'SOD3', 'MFGE8', 'B2M', 'LHFP', 'BTG1', 'LURAP1L', 'MEF2C', 'HLA-B', 'BGN', 'ARHGDIB', 'CSRP2', 'RGS16', 'CPM', 'COL18A1', 'ACTA2', 'CTSC', 'SEPT7', 'H3F3B', 'PHLDA1', 'TSC22D1', 'TPPP3', 'SEPT4', 'KCNJ8', 'JUNB', 'C20orf27', 'GEM', 'C8orf4', 'ARHGAP15', 'GPX3', 'SYNPO2', 'GJC1', 'C11orf96', 'MT-CO1', 'ID3', 'FAM162B', 'CHCHD10', 'HLA-A', 'FOS', 'ASPN', 'CRISPLD2', 'H2AFJ', 'LGI4', 'MIR143HG', 'PPP1R14A', 'TPM1', 'IGKC', 'ASAH1', 'CCDC102B', 'NDRG2', 'COL3A1', 'HLA-C', 'TPM2', 'EGR1', 'P2RY14', 'LGALS3BP', 'NFASC', 'CEBPD', 'IGFBP2', 'EHD2', 'EBF1', 'MYO1B', 'PIP5K1B', 'ADAMTS1', 'ZEB2', 'TFPI', 'ISYNA1', 'MAP1LC3A', 'EDNRA', 'EPS8', 'ARHGEF17', 'TGFBI', 'CLMN', 'ADCY3', 'COL5A3', 'CPE', 'RARRES2', 'TM4SF1', 'ZFP36', 'FABP5', 'ADAMDEC1', 'PLPP3', 'ITIH5', 'NR1H4', 'CA4']"
cS16 (Pericyte),"['STEAP4', 'MT2A', 'LHFP', 'HOPX', 'TINAGL1', 'CPE', 'IGFBP2', 'NOTCH3', 'ADIRF', 'NDUFA4L2', 'SYNPO2', 'RGS5', 'PDGFRB', 'EPS8', 'FABP4', 'C11orf96', 'C20orf27', 'MT1E', 'ADAMTS4', 'MYL9', 'APOE', 'SEPT4', 'PRRX1', 'SMOC2', 'TAGLN', 'KCNJ8', 'CRISPLD2', 'CD36', 'IGFBP7', 'GJA4', 'FAM162B', 'PFDN5', 'MT1M', 'CALD1', 'NR2F2', 'SPARCL1', 'PHLDA1', 'SLC7A2', 'COX4I2', 'C1QTNF1', 'ABCC9', 'SERPING1', 'CD44', 'CPM', 'ITGA7', 'MAP1B', 'MT1A', 'SEPT7', 'CCDC102B', 'ACTA2', 'CTSC', 'PTGER1', 'SOD3', 'ARHGAP15', 'RPS8', 'RPL29', 'TPM2', 'THY1', 'ISYNA1', 'RASD1', 'LAPTM4A', 'RPS3A', 'MFGE8', 'CHCHD10', 'MALAT1', 'GGT5', 'RPL12', 'CEBPD', 'ADAMTS1', 'PLAC9', 'ASAH1', 'ZEB2', 'ADCY3', 'RPL18', 'MYO1B', 'SLCO3A1', 'INAFM1', 'CHN1', 'FAM13C', 'ARID5B', 'HIGD1B', 'EBF1', 'H2AFJ', 'PCOLCE', 'MTHFD2', 'RPS27A', 'INPP4B', 'IGFBP4', 'TBX2', 'RPS5', 'FAU', 'H3F3B', 'ENPEP', 'NACA', 'FAM213A', 'FHL2', 'TPM1', 'ARHGDIB', 'IGFBP5', 'RPS24', 'RPL9', 'RPL34', 'RPL13', 'RPL32', 'PDK4', 'RPL41', 'FGF7', 'RPS28', 'RPL30', 'RPS18', 'TPT1', 'RPS12', 'RPL24', 'RPL39', 'A2M', 'RPL18A', 'RPL7A', 'RPS13', 'C1S', 'RPS4Y1', 'TMEM176A', 'TXNIP', 'RPL26', 'RPS2', 'MT1X', 'RPL21', 'TIMP3', 'RPL8', 'GAS6', 'HSPB6', 'BTF3', 'RPL10A', 'EPHX1', 'RPL37', 'PTGER3', 'RHOB', 'RPS14', 'C1R', 'RPS27', 'RPL36', 'RPL11', 'MYC', 'CCDC80', 'RPL19', 'CFH', 'RARRES2', 'RPS15A', 'SRPX', 'NFIB', 'RPS9', 'RPL37A', 'RPSA', 'LITAF', 'TMEM176B', 'RPL6', 'RPLP1', 'NNMT', 'EEF1A1']"
cS17 (Pericyte),"['ACTA2', 'NOTCH3', 'CALD1', 'COL18A1', 'PDGFRB', 'RGS5', 'NDUFA4L2', 'MYL9', 'SOD3', 'CSRP2', 'TAGLN', 'TPM2', 'MYH11', 'MYLK', 'TPM1', 'MAP3K7CL', 'CYTOR', 'PLXDC1', 'PPP1R14A', 'FRZB', 'HES4', 'LHFP', 'BGN', 'SMOC2', 'MIR143HG', 'C11orf96', 'SEPT4', 'TPPP3', 'MAP3K20', 'IGFBP7', 'DSTN', 'TBX2', 'GJA4', 'EPS8', 'ADIRF', 'MEF2C', 'PDGFA', 'MFGE8', 'CRISPLD2', 'SDC2', 'OLFML2B', 'TINAGL1', 'S100A4', 'PPP1R12B', 'FOXS1', 'PTK2', 'PHLDA1', 'CRIP1', 'CDH6', 'COL4A2', 'SEPT7', 'MCAM', 'NR2F2', 'JAG1', 'CHCHD10', 'ANGPT2', 'AC068491.1', 'HEYL', 'PTP4A3', 'PGF', 'COX4I2', 'GJC1', 'HOPX', 'COL14A1', 'GUCY1B3', 'SLIT3', 'ID4', 'OR51E1', 'MALAT1', 'C1QTNF1', 'PLN', 'PTMA', 'CSPG4', 'EDNRA', 'AXL', 'CALM2', 'PPP1R12A', 'ENPEP', 'LGI4', 'ARPC5', 'ITGA1', 'MRVI1', 'SERPINI1', 'ADAP2', 'NFASC', 'FBXO32', 'MAP1B', 'ARHGEF17', 'OAZ2', 'ACAN', 'SYNPO2', 'ISYNA1', 'EFHD1', 'TGFB1I1', 'HIGD1B', 'CLMN', 'ITGA7', 'PLCE1', 'MYL6', 'SGIP1', 'SPARCL1', 'LTBP1', 'NET1', 'PDLIM5', 'ACTG2', 'GBP2', 'NUDT4', 'LBH', 'YBX3', 'LPP', 'ZFHX3', 'PALLD', 'CSRP1', 'PDLIM3', 'BCAM', 'PTRF', 'WFDC1', 'ENTPD1', 'KCNA5', 'GADD45B', 'ENAH', 'GPRC5C', 'FLNA', 'CNN1', 'CAP2', 'NDUFA4', 'ACTN1', 'SORT1', 'CBX6', 'KCNMB1', 'HTRA1', 'HOXB-AS1', 'SLC38A11', 'CAV2', 'ADAMTS9', 'ACTN4', 'C10orf10', 'CTD-3252C9.4', 'ATP2B4', 'CDKN1A', 'LMOD1', 'PHLDB2', 'WDR1', 'MSRB3', 'HCFC1R1', 'CRYAB', 'IGFBP4', 'GPR4', 'NGF', 'NTN4', 'COBLL1', 'FILIP1', 'C9orf3', 'PDLIM7', 'RCAN2', 'TSC22D3', 'NRIP2', 'KLF2']"
cS18 (Pericyte),"['RGS5', 'NDUFA4L2', 'FRZB', 'THY1', 'CSRP2', 'CALD1', 'LHFP', 'NOTCH3', 'PDGFRB', 'MMP11', 'CYTOR', 'PLXDC1', 'AC068491.1', 'CHCHD10', 'CD248', 'ITGA1', 'COL4A2', 'ANGPT2', 'EDNRA', 'LURAP1L', 'COX4I2', 'CCDC3', 'SEPT4', 'KCNJ8', 'HES4', 'COL18A1', 'CYGB', 'PRSS23', 'PHLDA1', 'CCDC102B', 'SEPT11', 'ACTA2', 'GJA4', 'FOXS1', 'TBX2', 'COL4A1', 'CSPG4', 'TNS3', 'SEPT7', 'BGN', 'IGFBP7', 'SSRP1', 'MYLK', 'UACA', 'LPL', 'GJC1', 'TPPP3', 'HEYL', 'TPM1', 'ADAP2', 'IL34', 'MYO1B', 'CDH6', 'TGFB1I1', 'COL5A2', 'PPP1R14A', 'MYL9', 'OLFML2B', 'MARCKSL1', 'LZTS1', 'LDHB', 'C11orf96', 'SDC2', 'GUCY1B3', 'ID3', 'FAM162B', 'SPON2', 'ARHGEF17', 'CPM', 'ANXA6', 'LGALS1', 'PTK2', 'SOD3', 'S1PR3', 'COL5A3', 'ITGB1', 'ARPC2', 'SPATS2L', 'MCAM', 'TPM2', 'HIGD1B', 'ARHGAP15', 'PGF', 'EPS8', 'RGS16', 'NREP', 'RBP1', 'HEY2', 'NR2F2', 'LINGO1', 'COL1A1', 'EBF1', 'MAP3K20', 'OLFML2A', 'SPARC', 'CYBA', 'KRT18', 'PLOD2', 'SERPINH1', 'GGT5', 'CARD16', 'PLAT', 'F2R', 'FSTL1', 'FOXF1', 'MEST', 'GMFG', 'TMSB10', 'UNC5B', 'PCDH18', 'TESC', 'SERPINB6', 'SNAI2', 'SMARCB1', 'TMEM98', 'COL9A1', 'DYNLT1', 'LTBP4', 'RFTN1', 'GPC4', 'OAF', 'LIMS1', 'APP', 'PTN', 'LIMD2', 'IFIT3', 'ITGA4', 'SOX4', 'CALR', 'CCND2', 'MAB21L2', 'CDC42BPA', 'LRRC32', 'EFEMP2', 'HSP90AA1', 'MXRA5', 'CMTM6', 'RNF7', 'DNAJA1', 'MARCKS', 'EMILIN1', 'ALCAM', 'PDLIM2', 'UBE2E3', 'APEX1', 'SERPINI1', 'PAMR1', 'CRMP1', 'CDH11', 'IDH2', 'CLIC1', 'TMEM204', 'MPC1', 'CCDC68', 'ECM1']"
cS19 (Pericyte),"['THY1', 'NDUFA4L2', 'COL1A1', 'CYTOR', 'COL18A1', 'SPARC', 'BGN', 'TIMP1', 'UACA', 'RGS5', 'COL4A1', 'COL5A2', 'NOTCH3', 'PLXDC1', 'LGALS1', 'COL4A2', 'COL1A2', 'AC068491.1', 'FN1', 'CCDC102B', 'KCNJ8', 'PDGFRB', 'COL6A2', 'CALD1', 'COL6A1', 'ITGA1', 'OLFML2B', 'COL3A1', 'EDNRA', 'CD248', 'LOXL2', 'CHCHD10', 'COL5A3', 'TPM2', 'CD44', 'TPPP3', 'CYBA', 'TPM1', 'GUCY1B3', 'COL6A3', 'ITGB1', 'COL5A1', 'PPP1R14A', 'CHN1', 'ARPC5', 'ACTA2', 'ENPEP', 'PHLDA1', 'PRRX1', 'TAGLN', 'INAFM1', 'MYL9', 'LHFP', 'SDC2', 'CSPG4', 'EPS8', 'TGFB1I1', 'NID2', 'IGFBP7', 'H2AFJ', 'TFPI', 'TPM4', 'PRSS23', 'EGFL6', 'SERPINH1', 'MCAM', 'TBX2', 'COX4I2', 'MYO1B', 'PCOLCE', 'CDH6', 'RGS16', 'TSPAN15', 'S100A11', 'ABCC9', 'GJC1', 'CLIC1', 'SEPT4', 'NR2F2', 'PDGFA', 'GAPDH', 'HES4', 'CYGB', 'PGF', 'ARHGEF17', 'ID4', 'AXL', 'PAG1', 'ADAMTS2', 'SPON2', 'ANGPT2', 'FOXS1', 'FILIP1L', 'TDO2', 'AP2S1', 'HEYL', 'POSTN', 'ZEB2', 'MAP1B', 'GGT5', 'COL15A1', 'TMSB10', 'SERF2', 'S100A10', 'COL12A1', 'ERRFI1', 'EMP3', 'P4HB', 'EMP1', 'ATP5E', 'CERCAM', 'OSTC', 'OST4', 'KDELR2', 'SULF1', 'CLEC11A', 'FKBP10', 'FTL', 'SEC61G', 'ITGAV', 'VIM', 'PKM', 'FXYD5', 'IL32', 'RPL28', 'RCN3', 'CALU', 'SSR3', 'VCAN', 'THBS2', 'CD63', 'AEBP1', 'C7orf73', 'POMP', 'FSTL1', 'TNFAIP6', 'F3', 'PXDN', 'PPIB', 'C19orf10', 'LAMC1', 'ADAMTS12', 'G0S2', 'TNC', 'TMEM167A', 'ENO1', 'PRR16', 'C4orf48', 'GPM6B', 'ANXA2', 'ADAM12', 'SH3BGRL3', 'HIF1A', 'CDH13', 'REEP3', 'CD276', 'COTL1']"
cS20 (Pericyte prolif),"['PCLAF', 'TUBB', 'H2AFZ', 'TUBA1B', 'TK1', 'TYMS', 'HMGB2', 'UBE2C', 'STMN1', 'TPX2', 'CYTOR', 'DUT', 'SMC4', 'RGS5', 'SLC25A5', 'NDUFA4L2', 'TOP2A', 'DEK', 'KIF20B', 'CENPF', 'THY1', 'HMGB1', 'RRM2', 'CENPW', 'RANBP1', 'HMGN2', 'RAN', 'TUBB4B', 'UBE2T', 'NUSAP1', 'MKI67', 'ACTA2', 'SMC2', 'CENPK', 'CENPU', 'PTTG1', 'SEPT11', 'BIRC5', 'NUCKS1', 'PLXDC1', 'GJC1', 'CDK1', 'ZWINT', 'NOTCH3', 'OLFML2B', 'KPNA2', 'IDH2', 'GGH', 'H2AFV', 'CKS2', 'LSM4', 'AC068491.1', 'COL18A1', 'CENPN', 'CKS1B', 'SPC25', 'MCM7', 'PBK', 'CLSPN', 'TMEM106C', 'LGALS1', 'SKA2', 'PCNA', 'RAD51AP1', 'CSPG4', 'UACA', 'CALD1', 'TPM4', 'RPA3', 'ITGA1', 'UQCC2', 'COL5A3', 'RRM1', 'COX8A', 'HES4', 'CALM2', 'TEX30', 'DHFR', 'DTYMK', 'NUDT1', 'BGN', 'CENPH', 'USP1', 'IKBIP', 'SEMA5A', 'TPM2', 'ENPEP', 'CCDC102B', 'TMSB15A', 'HNRNPAB', 'GMNN', 'MAD2L1', 'TPM1', 'CCDC3', 'EDNRA', 'ATAD2', 'SDC2', 'RPL39L', 'TDO2', 'FOXM1', 'TUBB6', 'HIST1H4C', 'TMPO', 'RHEB', 'STRA13', 'HNRNPA2B1', 'H2AFX', 'DIAPH3', 'CCNB2', 'HN1', 'YWHAH', 'HMGN1', 'NRGN', 'CCNA2', 'NASP', 'TCF19', 'AURKB', 'CBX5', 'UBE2S', 'ASPM', 'PRC1', 'CKAP2', 'ITGB3BP', 'WDR34', 'CDKN3', 'FAM64A', 'KIFC1', 'NCAPG', 'PHF19', 'PARP1', 'NUF2', 'GTSE1', 'MYBL2']"
cS21 (Fibro stem cell niche),"['MFAP5', 'IGFBP6', 'DCN', 'CFD', 'PLAC9', 'PCOLCE2', 'CD55', 'TNXB', 'EFEMP1', 'CST3', 'FBLN2', 'FBN1', 'S100A4', 'GSN', 'C1QTNF3', 'SFRP1', 'FBLN1', 'SCARA5', 'CCDC80', 'CD248', 'FSTL1', 'ADH1B', 'CLEC3B', 'LTBP4', 'OLFML3', 'GPX3', 'C1R', 'GPNMB', 'PI16', 'MFAP4', 'LUM', 'OGN', 'CYBRD1', 'PRELP', 'PCOLCE', 'MGST1', 'SLPI', 'OSR2', 'TIMP2', 'TIMP3', 'FN1', 'CILP', 'S100A6', 'MGP', 'DPT', 'SERPINF1', 'CADM3', 'ISLR', 'PLPP3', 'COL6A2', 'SERPINE2', 'SEMA3C', 'C1S', 'ITM2A', 'UAP1', 'NUPR1', 'CD99', 'COL1A2', 'PSAP', 'SFRP2', 'EMP3', 'PPIC', 'TIMP1', 'MEG3', 'PMP22', 'RARRES2', 'CPQ', 'ANXA2', 'SERPING1', 'S100A10', 'SOD3', 'FTL', 'WISP2', 'FCGRT', 'CTSK', 'CD63', 'VKORC1', 'PIGT', 'PROCR', 'RP11-14N7.2', 'KRT24', 'FXYD1', 'F10', 'PLTP', 'MFGE8', 'C3', 'MMP2', 'CLU', 'MRC2', 'LOXL1', 'SMIM14', 'SDC2', 'GPX4', 'SEPP1', 'HTRA3', 'ECM1', 'PHGDH', 'KLF4', 'LAPTM4A', 'IGFBP5', 'ITM2B', 'APP', 'TPPP3', 'SH3BGRL3', 'CD34', 'EBF1', 'C17orf58', 'CLTB', 'SDCBP', 'ADI1', 'CREB5', 'DDAH2', 'SEMA3B', 'DBN1', 'NPC2', 'ADAMTS5', 'KLF2', 'PAMR1', 'RP11-48O20.4', 'SHISA3', 'SEMA3E', 'GRN', 'RHOA', 'TGFBR3', 'CLDN11']"
cS22 (Fibro stem cell niche),"['CFD', 'DCN', 'FBLN1', 'CCDC80', 'MGP', 'SFRP2', 'GSN', 'ADH1B', 'LUM', 'OGN', 'DPT', 'PLAC9', 'CST3', 'IGFBP6', 'CXCL12', 'C1R', 'GPNMB', 'MFAP4', 'TNXB', 'SFRP1', 'S100A4', 'RARRES2', 'FTL', 'SERPINF1', 'MFAP5', 'C1S', 'COL14A1', 'EFEMP1', 'C3', 'LTBP4', 'SEPP1', 'SLIT3', 'NUPR1', 'PCOLCE', 'OLFML3', 'SERPING1', 'FBLN2', 'SRPX', 'MMP2', 'COL1A2', 'PTN', 'CTSK', 'MGST1', 'SCARA5', 'TIMP2', 'CYBRD1', 'SOD3', 'COL6A2', 'GPX3', 'PRELP', 'PLTP', 'FXYD1', 'CPQ', 'PSAP', 'C16orf89', 'PI16', 'RSPO3', 'C1QTNF3', 'WISP2', 'CFH', 'FGL2', 'ITM2A', 'SPON2', 'PLPP3', 'OSR2', 'CD63', 'PMP22', 'LRP1', 'AEBP1', 'FTH1', 'HTRA1', 'TIMP1', 'COL6A3', 'SERPINE2', 'NPC2', 'S100A6', 'TIMP3', 'FCGRT', 'ABI3BP', 'LGALS3BP', 'CD248', 'CES1', 'PCOLCE2', 'CLU', 'CILP', 'SCPEP1', 'LGALS3', 'TMEM176B', 'MRC2', 'ZFP36L2', 'MEG3', 'CD55', 'CHRDL1', 'ABCA8', 'F10', 'CP', 'FN1', 'QSOX1', 'CPVL', 'LSP1', 'ITM2B', 'TXNIP', 'ALDH1A1', 'CD99', 'APP', 'IGSF10', 'CLDN11', 'CADM3', 'OMD', 'DDAH2', 'SLPI', 'CD81', 'ANXA1', 'PAM', 'CTSF', 'S100A10', 'GSTM5', 'PID1', 'TGFBR3', 'EBF1', 'NFIA']"
cS23 (Fibro BMP-producing),"['CXCL14', 'F3', 'PLAT', 'PDGFRA', 'RGS10', 'BMP5', 'HSD17B2', 'COL6A2', 'FENDRR', 'TMEM176B', 'APOE', 'MFGE8', 'DMKN', 'NSG1', 'COL6A1', 'ENHO', 'WFDC1', 'EDNRB', 'CEBPD', 'EMILIN1', 'SLITRK6', 'TRPA1', 'FOXF1', 'FRZB', 'TMEM176A', 'BMP4', 'RARRES2', 'CYGB', 'TGFBI', 'APLP2', 'NBL1', 'SOX6', 'PPP1R14A', 'COL3A1', 'NRG1', 'SCPEP1', 'S100A13', 'SDC2', 'LTBP4', 'BSG', 'POSTN', 'COL6A3', 'EMID1', 'MMP2', 'ACP5', 'IGFBP3', 'LOX', 'LGALS3BP', 'C11orf96', 'PCDH18', 'CTSD', 'ECM1', 'VCAN', 'GPX3', 'GADD45G', 'TMEM119', 'NPY', 'PITX1', 'KREMEN1', 'MRPS6', 'PXDN', 'FAM105A', 'FAM150B', 'CEBPB', 'CRISPLD2', 'ITGA8', 'ADGRL3', 'AGT', 'TPM2', 'WNT5A', 'GJA1', 'BMP2', 'PROM1', 'LTBP1', 'IL1R1', 'PROCR', 'CALD1', 'UBB', 'PTCH1', 'INSC', 'HLA-A', 'TSPAN33', 'RARRES3', 'VEGFA', 'EMP3', 'VSTM2A', 'F2R', 'MALAT1', 'CSF1', 'LGALS1', 'PDGFD', 'CTSB', 'PTGS1', 'C8orf4', 'MCTP2', 'STMN2', 'FTL', 'TIMP1', 'TSC22D3', 'HMGN2', 'TM4SF1', 'B2M', 'CD9', 'MAP1B', 'LAMA5', 'CAV1', 'HLA-B', 'H3F3B', 'GMFG', 'PDLIM1', 'TBX2', 'C9orf16', 'PTMA', 'JUNB', 'MT-CO1', 'PTPRE', 'SLC9A3R2', 'IFI27', 'COL4A5', 'CXCR4', 'A2M', 'LAMC3', 'ETS2', 'C7orf50', 'HMGB1', 'MGLL', 'EID1', 'DACH1', 'BST2']"
cS24 (Fibro BMP-producing),"['CXCL14', 'F3', 'PDGFRA', 'NBL1', 'POSTN', 'COL6A2', 'PLAT', 'TMEM176B', 'BMP4', 'CEBPD', 'FAM150B', 'EDNRB', 'COL6A1', 'CALD1', 'SOX6', 'NSG1', 'HSD17B2', 'DMKN', 'ENHO', 'EMILIN1', 'MMP2', 'TRPA1', 'TMEM176A', 'RARRES2', 'VSTM2A', 'TSC22D3', 'C1S', 'FRZB', 'SERPINF1', 'LSP1', 'BMP5', 'CRISPLD2', 'TMEM119', 'PDGFD', 'DDHD1', 'APOD', 'APLP2', 'PITX1', 'FENDRR', 'GADD45G', 'CXCR4', 'LTBP4', 'CYGB', 'PTCH1', 'LGALS3BP', 'MFAP4', 'RGS10', 'ECM1', 'LAMA4', 'JUN', 'NNMT', 'RBP1', 'C1R', 'TSHZ2', 'CDH11', 'SDC2', 'FOXF1', 'FHL2', 'TPM2', 'AGT', 'MT-CO3', 'LRP1', 'CFD', 'EMID1', 'COL3A1', 'PCSK6', 'MALAT1', 'PPP1R14A', 'CEBPB', 'FOS', 'TXNIP', 'MT-CO1', 'COL4A5', 'MAP1LC3A', 'TGFBI', 'PTGER2', 'PLEKHH2', 'ACTA2', 'ST5', 'RP11-356J5.12', 'GPX3', 'KREMEN1', 'PAPPA2', 'COL6A3', 'NUDT4', 'MT-CYB', 'PDLIM1', 'CTGF', 'PROM1', 'IGFBP5', 'DIO3OS', 'TSPAN33', 'SGCE', 'LAPTM4A', 'CPM', 'ALDH1A3', 'ZFP36L1', 'FOXF2', 'EGR1', 'SCPEP1', 'B2M', 'HLA-A', 'CD9', 'HLA-B', 'CAV1', 'JUNB', 'ADIRF', 'TCF4', 'MGLL', 'MT-CO2', 'MT-ND2', 'MT-ND4', 'ZFP36', 'LIMCH1', 'MT-ND1', 'TM4SF1', 'SCUBE2', 'PTGDR2', 'COL4A6', 'IGFBP3', 'GMFG', 'FAM89A', 'F2R', 'MIR143HG', 'TSLP', 'WNT5B']"
cS25 (Fibro CCL8+),"['ADAMDEC1', 'APOE', 'CXCL14', 'CFD', 'CTSC', 'ABCA8', 'ADAM28', 'C1S', 'TMEM176B', 'TCF21', 'FBLN1', 'MFAP4', 'LUM', 'TMEM176A', 'LTBP4', 'EMILIN1', 'EDIL3', 'DCN', 'CEBPD', 'CFH', 'HAPLN1', 'COL3A1', 'CCL2', 'RBP1', 'CCL13', 'CCL11', 'A2M', 'SCARA5', 'RP11-805I24.2', 'MEG3', 'C1R', 'STMN2', 'CYGB', 'CCL8', 'MATN2', 'VCAN', 'COL6A2', 'COL1A2', 'PTN', 'VMP1', 'SEPP1', 'JUN', 'GPX3', 'PLTP', 'CRISPLD2', 'GGT5', 'FOS', 'LGALS3BP', 'ADH1B', 'RND3', 'LSP1', 'PLEKHH2', 'CALD1', 'PROCR', 'LRP1', 'COL6A1', 'COL1A1', 'RARRES2', 'COL14A1', 'QSOX1', 'PPP1R14A', 'RP1-186E20.2', 'PLPP3', 'TFPI2', 'RHOBTB3', 'MMP2', 'VCAM1', 'CTSK', 'PLAC9', 'NOVA1', 'TGFBI', 'PLPP1', 'C11orf96', 'FBLN5', 'SERPINF1', 'FHL1', 'EMID1', 'IL6ST', 'PITX1', 'RARRES3', 'EGR1', 'FILIP1L', 'APOC1', 'ZFP36L1', 'PTGDS', 'CLEC11A', 'COL5A1', 'SPON2', 'MAPK10', 'FHL2', 'PMP22', 'ZFP36L2', 'BMP4', 'BASP1', 'FXYD1', 'RPS12', 'HAAO', 'RGS10', 'SMPDL3A', 'FABP5', 'BTG1', 'TM4SF1', 'RPS7', 'ZFP36', 'HNRNPA1', 'SPARCL1', 'MALAT1', 'COL15A1', 'JUNB', 'RPL13A', 'FABP4', 'COL18A1', 'GNG11', 'RPL21', 'IGHA1', 'COX7C', 'RPLP2', 'IGFBP7', 'RHOB', 'H3F3B', 'RPL7', 'P2RY14', 'GLTSCR2', 'MT-ND1', 'EEF1D', 'C8orf4', 'MT-CO1', 'PTGER4', 'IGKC', 'VIM', 'CHL1', 'RPS27A', 'NID1', 'ACVRL1', 'CRYBG3', 'GSN', 'SPRY1', 'CIRBP', 'SAMHD1', 'RPL3', 'RPS16']"
cS26 (Myofibro),"['TAGLN', 'MYLK', 'MYH11', 'TPM2', 'ACTG2', 'TPM1', 'ACTA2', 'MYL9', 'DSTN', 'MYL6', 'LPP', 'CNN1', 'FLNA', 'RP3-412A9.11', 'SYNPO2', 'DES', 'CALD1', 'PDLIM3', 'CSRP1', 'ACTB', 'PLN', 'LMOD1', 'LTBP1', 'ACTN1', 'NDUFA4', 'SLMAP', 'PALLD', 'PDLIM7', 'MIR143HG', 'HSD17B6', 'FHL1', 'NEXN', 'SMTN', 'PPP1R12B', 'WFDC1', 'FILIP1L', 'KCNMB1', 'TGFB1I1', 'COL3A1', 'TIMP2', 'HHIP', 'C1S', 'CKB', 'KANK2', 'EMILIN1', 'NBL1', 'CRYAB', 'MT-RNR1', 'RGS2', 'LGALS1', 'TUBA1A', 'MT-ATP6', 'MSRB3', 'SORBS1', 'NPNT', 'SOSTDC1', 'TCEAL4', 'SH3BGRL', 'CES1', 'ITM2C', 'PCDH7', 'MFAP4', 'ILK', 'SVIL', 'LUM', 'PPP1R14A', 'PRUNE2', 'PLEKHO1', 'NUPR1', 'ITGB1', 'VCL', 'MYOCD', 'CCDC107', 'MRVI1', 'EDIL3', 'SGCA', 'C1R', 'FBXO32', 'FERMT2', 'TES', 'RBPMS', 'FN1', 'TNC', 'C9orf3', 'COL1A2', 'ALDH1B1', 'TLN1', 'IGFBP5', 'CFL2', 'AKAP12', 'AOC3', 'DDR2', 'COL1A1', 'ANTXR1', 'MRGPRF', 'SAMD11', 'RAMP1', 'SEPW1', 'RGS5', 'CSRP2', 'HSPB1', 'ACTN4', 'COL4A2', 'PTMS', 'MT-RNR2', 'PAWR', 'PPP1R12A', 'TPM4', 'MT-CO3', 'WDR1', 'CLIC4', 'CAV1', 'SPARCL1', 'LIMS2', 'PTMA', 'MT-CYB', 'GBP2', 'CD9', 'KCNMA1', 'SYNM', 'DMD', 'PFN1', 'MINOS1', 'NRP2', 'TNS1']"
cS27 (CXCL14+ CAF),"['CXCL14', 'RARRES2', 'IGFBP7', 'VCAN', 'PDPN', 'CTSK', 'F3', 'PALLD', 'COL3A1', 'COL1A1', 'CTSC', 'TMEM176A', 'TMEM176B', 'EMILIN1', 'LUM', 'COL1A2', 'COL5A1', 'INHBA', 'FHL2', 'AGT', 'COL12A1', 'SPON2', 'TIMP1', 'F2R', 'COL6A3', 'PDGFRA', 'NBL1', 'SERPINF1', 'C1S', 'C1R', 'CDH11', 'TPM2', 'EMID1', 'BMP4', 'MMP11', 'PCOLCE', 'MFAP2', 'COL6A1', 'COL5A2', 'WNT5A', 'PCDH18', 'LGALS1', 'EFEMP2', 'SULF1', 'TGM2', 'DKK3', 'FENDRR', 'LGALS3BP', 'DCN', 'THY1', 'ALDH1A3', 'PTCH1', 'CISD1', 'CALD1', 'PPIB', 'RBP1', 'PROCR', 'NSG1', 'PTMA', 'TMEM98', 'PAG1', 'MDK', 'MEST', 'SPATS2L', 'SDC2', 'TMEM158', 'MEG3', 'FOXF1', 'CLEC11A', 'FILIP1L', 'MXRA5', 'TMSB10', 'ST5', 'PPP1R14A', 'MXRA8', 'C2', 'MMP2', 'AEBP1', 'PITX1', 'RARRES3', 'TSPAN33', 'TGFBI', 'ISLR', 'ANTXR1', 'RUNX1', 'PDGFC', 'EDIL3', 'SOX4', 'SEPT11', 'FBLN1', 'PLAT', 'GPC1', 'MARCKSL1', 'CH25H', 'WARS', 'CNN2', 'COL6A2', 'PLOD2', 'PLAU', 'RGS10', 'ITM2C', 'CARD16', 'MYL12A', 'LSAMP', 'BICC1', 'FARP1', 'TCF4', 'CFL1', 'PDLIM1', 'SERPINH1', 'C9orf16', 'MYH9', 'RCN2', 'C4orf48', 'NDUFA4', 'POMP', 'ZEB1', 'MYLK', 'PSMB9', 'C9orf3', 'WNT4', 'CYTOR', 'SULF2', 'MRVI1', 'WNT2', 'CAV2', 'FBLIM1', 'CHCHD10', 'ITGA1', 'SPARC', 'HSPE1', 'TAGLN', 'TPM4', 'ATP2B1', 'PSME2', 'CALM1', 'ID3', 'LIMS1', 'SERTAD4-AS1', 'RPS19', 'PMEPA1', 'CALR', 'ETS2', 'LEF1', 'ISG15', 'ADAM19', 'F2RL2', 'TGFB1', 'DLL1', 'HSPA8', 'H3F3A']"
